Sample ID,Top,Bottom,width,plot,D10 (mm):,D50 (mm):,D90 (mm):,(D90 / D10) (mm):,(D90 - D10) (mm):,(D75 / D25) (mm):,(D75 - D25) (mm):,D10 (f):,D50 (f):,D90 (f):,(D90 / D10) (f):,(D90 - D10) (f):,(D75 / D25) (f):,(D75 - D25) (f):,% GRAVEL:,% SAND:,% MUD:,% V COARSE GRAVEL:,% COARSE GRAVEL:,% MEDIUM GRAVEL:,% FINE GRAVEL:,% V FINE GRAVEL:,% V COARSE SAND:,% COARSE SAND:,% MEDIUM SAND:,% FINE SAND:,% V FINE SAND:,% V COARSE SILT:,% COARSE SILT:,% MEDIUM SILT:,% FINE SILT:,% V FINE SILT:,% CLAY:
UNB-1-1-48-49,48,49,1,48.5,0.910795454,4.677454386,19.25755106,21.1436618,18.3467556,4.94135579,7.869707636,5.69843194,7.7400607,10.10058529,1.772520124,4.402153349,1.345912839,2.304906937,0,0.000656489,0.999343511,0,0,0,0,0,0,0,0,0,0.000656489,0.034905037,0.103514927,0.184417896,0.236853587,0.194797892,0.244854172
UNB-1-1-49-50,49,50,1,49.5,2.030435572,114.0145594,427.6574245,210.6234891,425.6269889,41.35948774,255.9916203,1.225472508,3.13271003,8.943995035,7.298405289,7.718522527,3.781708284,5.370146412,0,0.555560771,0.444439229,0,0,0,0,0,0,0.06702139,0.205318956,0.209751162,0.073469263,0.024186008,0.053508606,0.085975469,0.100452485,0.084007973,0.096308688
UNB-1-1-49-50,49,50,2,50,0.967268541,5.430676086,21.30856573,22.02962757,20.34129719,4.921411385,8.988604087,5.552422701,7.524652469,10.0137959,1.803500281,4.4613732,1.355344104,2.299072118,0,0.011423109,0.988576891,0,0,0,0,0,0,0,0,0.001495415,0.009927694,0.037690231,0.115655097,0.206614728,0.237331849,0.175353748,0.215931238
UNB-1-1-50-52,50,52,2,51,1.082624214,6.449561561,135.2920011,124.9667237,134.2093769,6.962107259,15.39903813,2.88585155,7.276583195,9.851251723,3.413637727,6.965400174,1.482900171,2.799524041,0,0.143361014,0.856638986,0,0,0,0,0,0,0,0.021917278,0.08568147,0.035762266,0.034825695,0.095714408,0.167898774,0.206389778,0.158341982,0.193468349
UNB-1-1-50-52,50,52,2,51,0.972833073,5.407131699,21.69264738,22.29842712,20.71981431,4.818433511,8.848704713,5.526650059,7.530920789,10.0055201,1.810413179,4.478870044,1.349831458,2.268564198,0,0.023163582,0.976836418,0,0,0,0,0,0,0,0.00032625,0.005962813,0.016874519,0.032934344,0.108157496,0.203577269,0.241707315,0.176880617,0.213579378
UNB-1-1-50-52,50,52,2,51,0.974036687,4.913774914,18.80063948,19.30177757,17.8266028,4.607762753,7.761636968,5.733074455,7.668952511,10.00373627,1.744916509,4.270661812,1.331116838,2.204066436,0,0.000320693,0.999679307,0,0,0,0,0,0,0,0,0,0.000320693,0.028557853,0.105279989,0.196850591,0.248421348,0.193061478,0.227508049
UNB-1-1-52-54,52,54,2,53,0.952765839,5.015702279,19.26246694,20.2174198,18.3097011,4.761635516,8.103893284,5.698063709,7.639332569,10.03559069,1.761228235,4.337526983,1.340764744,2.251457192,0,0.000196633,0.999803367,0,0,0,0,0,0,0,0,0,0.000196633,0.027383324,0.114785128,0.198627131,0.243775981,0.187373922,0.227857881
UNB-1-1-54-56,54,56,2,55,1.004803152,5.27856533,22.3445268,22.23771567,21.33972365,4.933766631,8.911888067,5.483934697,7.565638414,9.95887139,1.816008384,4.474936693,1.355173805,2.302689477,0,0.017528847,0.982471153,0,0,0,0,0,0,0,4.94723E-06,0.007143716,0.010380184,0.036692416,0.116403906,0.192474636,0.237142939,0.182997564,0.216759691
UNB-1-1-56-58,56,58,2,57,0.999234122,5.364044988,21.39428758,21.41068556,20.39505346,4.905080408,8.926147601,5.546630551,7.542462947,9.966889637,1.796926899,4.420259086,1.35411943,2.294276787,0,0.009099351,0.990900649,0,0,0,0,0,0,0,1.79599E-05,0.002518034,0.006563357,0.038671677,0.117591625,0.202513695,0.236953222,0.179866295,0.215304135
UNB-1-1-58-62,58,62,4,60,0.963694657,4.961769276,19.41492979,20.14634994,18.45123514,4.656347693,7.917228724,5.6866897,7.654929634,10.01913627,1.76185739,4.332446574,1.334620183,2.219198789,0,0.008444682,0.991555318,0,0,0,0,0,0,0,1.20421E-06,0.002024415,0.006419062,0.030290199,0.10177658,0.194537562,0.247675883,0.190877315,0.226397779
UNB-1-1-62-64,62,64,2,63,0.996189778,5.582260687,23.16658052,23.25518796,22.17039074,5.151327645,9.632015082,5.431811077,7.484934786,9.971291773,1.835721388,4.539480695,1.370299301,2.364944304,0,0.014593627,0.985406373,0,0,0,0,0,0,0,4.21698E-07,0.00452652,0.010066684,0.044578389,0.123454873,0.20270058,0.228608354,0.172926334,0.213137843
