Material,Morphology,Material (Raw Data),Morphology (Raw Data),Unique_ID,Site,Location,Sample,Particle.x,Color,Plastic.or.not..morphology.,X1st.Order.Morph,Feret,MinFeret,Length,Length..mm.,Min Length (microns),Length (microns),Max Length (microns),Min Width (microns),Width (microns),Max Width (microns),Min Height (Microns),Height (microns),Max Height (Microns),Polymer.Class..openspecy.,Polymer..openspecy.,Min Density (mg/microns3),Density (mg/microns3),Max Density (mg/microns3),Min Volume (microns3),Volume (microns3),Max Volume (microns3),Min Mass (mg),Mass (mg),Max Mass (mg),OS_Plastic_Not
NA,fiber,,fiber,UNB-1-40-45-500um_A_3,Upper Newport Bay,UNB-1,UNB-1-40-45,3,black,,Fiber,2.781,1.832,0,2.781,2641.95,2781,2920.05,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,4.91E+05,6.09E+05,9.09E+05,6.54E-04,8.22E-04,1.25E-03,
NA,fiber,,fiber,UNB-1-40-45-500um_A_8,Upper Newport Bay,UNB-1,UNB-1-40-45,8,blue,,Fiber,2.117,0.688,0,2.117,2011.15,2117,2222.85,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,3.74E+05,4.64E+05,6.92E+05,4.98E-04,6.26E-04,9.48E-04,
NA,fiber,,fiber,UNB-2-00-05-500um_A_45,Upper Newport Bay,UNB-2,UNB-2-00-05,45,blue,,Fiber,1.292,0.418,0,1.292,1227.4,1292,1356.6,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,2.28E+05,2.83E+05,4.22E+05,3.04E-04,3.82E-04,5.79E-04,
NA,fiber,,fiber,UNB-2-00-05-500um_B_38,Upper Newport Bay,UNB-2,UNB-2-00-05,38,black,,Fiber,0.531,0.296,0,0.531,504.45,531,557.55,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,9.38E+04,1.16E+05,1.74E+05,1.25E-04,1.57E-04,2.38E-04,
NA,fiber,,fiber,UNB-2-00-05-500um_D_39,Upper Newport Bay,UNB-2,UNB-2-00-05,39,gray,,Fiber,1.434,0.394,0,1.434,1362.3,1434,1505.7,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,2.53E+05,3.14E+05,4.69E+05,3.37E-04,4.24E-04,6.42E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_C_9,Upper Newport Bay,UNB-2,UNB-2-05-10,9,blue,,Fiber,0.793,0.264,0,0.793,753.35,793,832.65,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.40E+05,1.74E+05,2.59E+05,1.86E-04,2.34E-04,3.55E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_E_6,Upper Newport Bay,UNB-2,UNB-2-05-10,6,black,,Fiber,0.867,0.606,0,0.867,823.65,867,910.35,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.53E+05,1.90E+05,2.83E+05,2.04E-04,2.56E-04,3.88E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_F_38,Upper Newport Bay,UNB-2,UNB-2-05-10,38,red,,Fiber,0.409,0.105,0,0.409,388.55,409,429.45,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,7.23E+04,8.96E+04,1.34E+05,9.61E-05,1.21E-04,1.83E-04,
NA,fiber,,fiber,UNB-2-05-10-500um_A_47,Upper Newport Bay,UNB-2,UNB-2-05-10,47,blue,,Fiber,1.611,0.284,0,1.611,1530.45,1611,1691.55,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,2.85E+05,3.53E+05,5.27E+05,3.79E-04,4.76E-04,7.21E-04,
NA,fiber,,fiber,UNB-2-05-10-500um_B_33,Upper Newport Bay,UNB-2,UNB-2-05-10,33,clear,,Fiber,1.064,0.798,0,1.064,1010.8,1064,1117.2,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.88E+05,2.33E+05,3.48E+05,2.50E-04,3.15E-04,4.76E-04,
