Site,Location,Sample,Depth,Size,Unique_ID,Color,Color-Group,Morphology,1st Order Morph,Comment,Feret,MinFeret,Length,plastic_or_not,match_val,good_match_vals,material_class,material_class_specific,spectrum_identity
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_52,blue,Blue,fiber,Fiber,,0.465,0.348,1.743,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_53,clear,Transparent,fragment,Non-Fiber,,1.772,0.766,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_54,red,Red,fiber,Fiber,,1.318,0.255,1.47,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_55,black,Black,fiber,Fiber,,0.348,0.246,0.944,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_56,gray,Black,fragment,Non-Fiber,,0.673,0.489,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_57,green,Green,fiber,Fiber,,1.068,0.207,1.41,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_58,black,Black,TRWP,Non-Fiber,,0.593,0.303,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_6,clear,Transparent,fragment,Non-Fiber,,0.756,0.308,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_7,clear,Transparent,fragment,Non-Fiber,,1.157,0.598,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_8,black,Black,fiber,Fiber,,1.096,0.607,4.36,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_9,yellow,Yellow,fiber,Fiber,,1.045,0.323,1.352,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_1,blue,Blue,fiber,Fiber,,0.966,0.608,2.612,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_10,white,White,fragment,Non-Fiber,brittle,1.142,0.472,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_11,clear,Transparent,fragment,Non-Fiber,brittle,0.761,0.479,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_12,pink,Red,fragment,Non-Fiber,,0.805,0.329,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_13,clear,Transparent,fragment,Non-Fiber,brittle,1.072,0.563,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_14,white,White,foam,Non-Fiber,flat,0.845,0.549,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_15,red,Red,fiber,Fiber,,0.635,0.524,1.782,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_16,black,Black,fiber,Fiber,,1.185,0.16,1.396,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_17,gray,Black,fiber,Fiber,,0.59,0.295,1.572,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_18,blue,Blue,fiber,Fiber,,0.439,0.235,0.945,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_19,gray,Black,fiber,Fiber,,1.363,0.387,2.63,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_2,white,White,fragment,Non-Fiber,,0.515,0.261,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_20,blue,Blue,fiber,Fiber,,1.288,0.663,2.456,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_21,gray,Black,fiber,Fiber,,0.717,0.57,2.596,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_22,black,Black,fiber,Fiber,,0.704,0.259,2.795,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_23,gray,Black,fragment,Non-Fiber,,0.457,0.335,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_24,green,Green,fragment,Non-Fiber,,1.115,0.248,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_25,white,White,fragment,Non-Fiber,,0.71,0.322,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_26,black,Black,fiber,Fiber,,0.784,0.341,2.068,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_D_27,gray,Black,fiber,Fiber,,0.959,0.222,1.102,,,,,,
