,Site,Location,Sub,Sample,Depth,Size,Unique_ID,Color,Color-Group,Morphology,1st Order Morph,Comment,Feret,MinFeret,Length,plastic_or_not,match_val,good_match_vals,material_class,material_class_specific,spectrum_identity
1770,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_43,green,Green,fragment,Non-Fiber,NA,1.969,0.344,0,NA,NA,NA,NA,NA,NA
1771,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_44,pink,Red,fiber,Fiber,NA,1.156,0.63,1.925,NA,NA,NA,NA,NA,NA
1772,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_45,translucent,Transparent,fiber,Fiber,NA,0.982,0.598,2.443,NA,NA,NA,NA,NA,NA
1773,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_46,black,NA,not plastic,NA,NA,0.429,0.238,0,NA,NA,NA,NA,NA,NA
1774,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_47,NA,NA,not plastic,NA,NA,0.778,0.483,0,NA,NA,NA,NA,NA,NA
1775,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_48,translucent,Transparent,fiber,Fiber,NA,1.244,0.452,3.293,NA,NA,NA,NA,NA,NA
1776,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_49,black,Black,TRWP,Non-Fiber,NA,1.052,0.439,0,NA,NA,NA,NA,NA,NA
1777,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_5,black,Black,fiber,Fiber,NA,1.309,0.175,1.508,NA,NA,NA,NA,NA,NA
1778,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_50,gray,Black,fiber,Fiber,NA,0.389,0.052,0.414,NA,NA,NA,NA,NA,NA
1779,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_51,black,NA,not plastic,NA,NA,0.565,0.254,0,NA,NA,NA,NA,NA,NA
1780,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_52,black,NA,not plastic,NA,NA,0.268,0.136,0,NA,NA,NA,NA,NA,NA
1781,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_53,black,NA,not plastic,NA,NA,0.28,0.101,0,NA,NA,NA,NA,NA,NA
1782,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_54,black,Black,TRWP,Non-Fiber,NA,0.255,0.11,0,NA,NA,NA,NA,NA,NA
1783,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_55,black,NA,not plastic,NA,NA,0.456,0.224,0,NA,NA,NA,NA,NA,NA
1784,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_6,blue,Blue,fiber,Fiber,NA,0.345,0.159,0.629,NA,NA,NA,NA,NA,NA
1785,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_7,black,Black,fiber,Fiber,NA,1.491,0.891,4.757,NA,NA,NA,NA,NA,NA
1786,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_8,gray,NA,not plastic,NA,NA,0.973,0.785,0,NA,NA,NA,NA,NA,NA
1787,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_9,blue,Blue,fiber,Fiber,NA,2.211,0.802,4.236,NA,NA,NA,NA,NA,NA
1788,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_F_1,black,NA,not plastic,NA,NA,0.135,0.058,0,NA,NA,NA,NA,NA,NA
1789,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_F_10,translucent,Transparent,fiber,Fiber,NA,1.903,1.378,3.798,NA,NA,NA,NA,NA,NA
1790,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_F_11,translucent,Transparent,film,Non-Fiber,NA,1.634,1.128,0,NA,NA,NA,NA,NA,NA
1791,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_F_12,black,Black,TRWP,Non-Fiber,NA,0.263,0.149,0,NA,NA,NA,NA,NA,NA
1792,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_F_13,black,Black,TRWP,Non-Fiber,NA,0.219,0.128,0,NA,NA,NA,NA,NA,NA
1793,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_F_14,gray,Black,fiber,Fiber,NA,0.826,0.572,2.208,NA,NA,NA,NA,NA,NA
1794,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_F_15,blue,Blue,fiber,Fiber,NA,1.263,0.285,1.765,NA,NA,NA,NA,NA,NA
1795,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_F_16,translucent,Transparent,fiber,Fiber,NA,1.965,0.511,2.944,NA,NA,NA,NA,NA,NA
